date;amount_sek;currency;original_amount;direction;suggested_account;category_hint;counterparty;description;notes;needs_review;source_file
2026-01-26;5249.78;SEK;5249.78;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01240194434;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;2350.63;SEK;2350.63;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01270256020;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;-248.00;SEK;-248.00;OUT;6570;TERMINAL_FEE;3306016;Card terminal;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;-171.00;SEK;-171.00;OUT;5700;FREIGHT;9423047;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;-2016.00;SEK;-2016.00;OUT;5700;FREIGHT;9423047;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;-275.00;SEK;-275.00;OUT;5700;FREIGHT;9423047;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;-94.71;SEK;-94.71;OUT;5700;FREIGHT;9423047;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;-94.00;SEK;-94.00;OUT;5700;FREIGHT;9423047;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;-2170.00;SEK;-2170.00;OUT;5700;FREIGHT;9423047;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;-171.74;SEK;-171.74;OUT;5700;FREIGHT;9423047;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;-78.83;SEK;-78.83;OUT;5700;FREIGHT;9423047;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;-3000.00;SEK;-3000.00;OUT;2893;OWNER_LOAN_2893_NORDEA;30860059626;2893 återbetalning;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-28;1570.73;SEK;1570.73;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01280278972;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-29;4064.41;SEK;4064.41;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01290305116;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-01;-70.00;SEK;-70.00;OUT;6570;BANK_FEE;;Månadsavgift Företagskonto;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-02;3845.85;SEK;3845.85;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02020405609;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-02;-12500.00;SEK;-12500.00;OUT;4010;VARUINKOP_PRIVAT;842446945339122;Inköp från privatperson kläder;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-02;5.48;SEK;5.48;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02010386401;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-02;9927.88;SEK;9927.88;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01310359414;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-03;837.53;SEK;837.53;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02030422253;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-04;1259.77;SEK;1259.77;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02040445787;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-05;1752.54;SEK;1752.54;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02050471530;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-05;-1556.00;SEK;-1556.00;OUT;5700;FREIGHT;5328653;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-06;502.72;SEK;502.72;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02060497853;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-06;13104.00;SEK;13104.00;IN;2893;OWNER_LOAN_2893_NORDEA;92356405879;SWISH SALES;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-09;3697.82;SEK;3697.82;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02090569951;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-09;3591.33;SEK;3591.33;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02070523538;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-10;4547.93;SEK;4547.93;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02100584482;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-10;7500.00;SEK;7500.00;IN;2893;OWNER_LOAN_2893_NORDEA;92356405879;Insättning;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-11;1376.95;SEK;1376.95;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02110607269;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-11;-569.00;SEK;-569.00;OUT;6212;MOBILE_SUBSCRIPTION;47460035;Abbonmang;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-11;-15627.00;SEK;-15627.00;OUT;5010;RENT;4392007;Lagar hyra 12/2025. 1-2 2026;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-11;-2100.00;SEK;-2100.00;OUT;5700;FREIGHT;5328653;DSV ROAD AB;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-13;3004.71;SEK;3004.71;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02130658937;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-16;-1192.00;SEK;-1192.00;OUT;5700;FREIGHT;5328653;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-16;546.42;SEK;546.42;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02150711570;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-16;958.62;SEK;958.62;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02140685830;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-17;1317.38;SEK;1317.38;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02170746228;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-18;18000.00;SEK;18000.00;IN;3105;EXPORT_NORWAY_NO_VAT;;Mohamad Sharif A Qalaji;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-18;297.06;SEK;297.06;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02180770543;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-19;28000.00;SEK;28000.00;IN;3105;EXPORT_NORWAY_NO_VAT;;CI-2026-001;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-19;2308.90;SEK;2308.90;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02190795628;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-19;-46372.00;SEK;-46372.00;OUT;5700;FREIGHT;6797542;UNITRANS SHIPPING & TRANSPORT AB;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-20;12000.00;SEK;12000.00;IN;3105;EXPORT_NORWAY_NO_VAT;;CI-2026-001;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-20;375.55;SEK;375.55;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02200821451;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-23;1579.49;SEK;1579.49;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02210847561;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-24;-20000.00;SEK;-20000.00;OUT;2893;OWNER_LOAN_2893_NORDEA;30860059626;Till 2893;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-24;3889.36;SEK;3889.36;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02240904331;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-24;-16725.00;SEK;-16725.00;OUT;7210;SALARY;825785842031717;Mari Lön januari;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-24;-15916.00;SEK;-15916.00;OUT;7210;SALARY;90236807120;Emelie LÖN JANUARI 2026;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-24;-522.00;SEK;-522.00;OUT;5700;FREIGHT;5328653;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-25;-4500.00;SEK;-4500.00;OUT;2893;OWNER_LOAN_2893_NORDEA;34690055203;Till 2893;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-25;48374.00;SEK;48374.00;IN;3051;SALES_FALLBACK;6641229;0006641229;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-27;5118.52;SEK;5118.52;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02270977337;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-27;-19612.00;SEK;-19612.00;OUT;7210;SALARY;50501055;Emelie och Mari skrattar;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-27;-871.00;SEK;-871.00;OUT;6310;INSURANCE_NO_VAT;7277536;Bil försäkring;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-02-27;-5209.00;SEK;-5209.00;OUT;5010;RENT;4392007;Fastighets AB Akvarium;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-01;-70.00;SEK;-70.00;OUT;6570;BANK_FEE;;Månadsavgift Företagskonto;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-02;841.50;SEK;841.50;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B03021053599;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-02;0.99;SEK;0.99;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B02281005989;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-02;-248.00;SEK;-248.00;OUT;6570;TERMINAL_FEE;47704044;SVEA BANK AB REF 9;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-02;-5299.00;SEK;-5299.00;OUT;5700;FREIGHT;5328653;Norge frakt utan moms;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-02;-949.00;SEK;-949.00;OUT;5700;FREIGHT;5328653;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-05;98.36;SEK;98.36;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B03051119511;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-09;-748.00;SEK;-748.00;OUT;5700;FREIGHT;5328653;DSV Road AB;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-11;-569.00;SEK;-569.00;OUT;6212;MOBILE_SUBSCRIPTION;47460035;Mobile abbonmang;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-16;3957.86;SEK;3957.86;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B03161387133;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-16;1645.10;SEK;1645.10;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B03151367841;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-17;8560.72;SEK;8560.72;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B03171403665;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-17;21911.00;SEK;21911.00;IN;2893;OWNER_LOAN_2893_NORDEA;92356405879;SWEISH SALES;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-18;-52871.00;SEK;-52871.00;OUT;1630;TAX;50501055;moms ocha rbetsgivare;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-20;5981.19;SEK;5981.19;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B03201480621;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-23;6665.46;SEK;6665.46;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B03221536484;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-24;12504.29;SEK;12504.29;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B03241573073;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-25;2520.52;SEK;2520.52;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B03251597946;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-25;7460.00;SEK;7460.00;IN;2893;OWNER_LOAN_2893_NORDEA;92356405879;SWISH SALES;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-25;-5501.00;SEK;-5501.00;OUT;7210;SALARY;825785842031717;Lön fabruari och januari;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-25;-11800.00;SEK;-11800.00;OUT;5460;FORBRUK_FALLBACK;810349647607374;Betalningen för sista fakturan;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-26;-23753.00;SEK;-23753.00;OUT;7210;SALARY;90236807120;Februari lön och semesteremile;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-26;7624.60;SEK;7624.60;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B03261624898;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-27;5674.45;SEK;5674.45;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B03271651166;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-27;-1150.00;SEK;-1150.00;OUT;5700;FREIGHT;5328653;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-30;16107.20;SEK;16107.20;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B03301727484;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-30;4400.00;SEK;4400.00;IN;2893;OWNER_LOAN_2893_NORDEA;92356405879;SWISH SALES;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-30;3000.00;SEK;3000.00;IN;2893;OWNER_LOAN_2893_NORDEA;92356405879;SWISH SALES;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-30;5800.00;SEK;5800.00;IN;2893;OWNER_LOAN_2893_NORDEA;92356405879;FROM 2893;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-30;-248.00;SEK;-248.00;OUT;3051;SALES;47704044;Kort terminal;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-30;-248.00;SEK;-248.00;OUT;3051;SALES;47704044;Kort terminal;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-30;-3762.00;SEK;-3762.00;OUT;6310;INSURANCE_NO_VAT;53020525;Försäkring;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-03-31;-14305.00;SEK;-14305.00;OUT;5700;FREIGHT;53971826;Container shipping to Eskilstu;;NO;Marginalen 2026-01-01-2026-03-31.csv
